Home Team;Away Team;Home Goals;Away Goals;Time of first goal;Team that scored first goal;1st Half Stoppage Time;Total Time;Scoreless Time;E;T
VOLOS NFC;OFI CRETE;1;4;39;OFI CRETE;;39;;1;48
ASTERAS TRIPOLIS;APOLLON SMYRNIS;0;0;-1;NG;;-1;94;1;48
AE LARISA;ATROMITOS ATHENS;0;0;-1;NG;;-1;94;1;48
ARIS THESSALONIKI;OLYMPIACOS;1;2;29;OLYMPIACOS;;29;;1;48
PANATHINAIKOS;PANETOLIKOS;2;1;19;PANATHINAIKOS;;19;;1;49
OFI CRETE;PAS GIANNINA;2;1;21;OFI CRETE;;21;;1;49
PAS LAMIA 1964;PAOK;0;2;12;PAOK;;12;;1;50
ASTERAS TRIPOLIS;AEK ATHENS;1;2;13;AEK ATHENS;;13;;1;50
APOLLON SMYRNIS;VOLOS NFC;3;3;47;APOLLON SMYRNIS;;47;;1;50
AE LARISA;ARIS THESSALONIKI;0;3;18;ARIS THESSALONIKI;;18;;1;50
ATROMITOS ATHENS;ARIS THESSALONIKI;2;2;37;ATROMITOS ATHENS;;37;;1;50
OLYMPIACOS;VOLOS NFC;4;1;11;VOLOS NFC;;11;;1;51
OFI CRETE;APOLLON SMYRNIS;0;2;3;APOLLON SMYRNIS;;3;;1;51
PAS GIANNINA ;PAS LAMIA 1964;2;0;30;PAS GIANNINA;;30;;1;51
PAOK ;ASTERAS TRIPOLIS;2;0;64;PAOK;4;68;;1;51
AEK ATHENS;PANATHINAIKOS;1;2;34;PANATHINAIKOS;;34;;1;51
PANETOLIKOS;AE LARISA;2;1;16;PANETOLIKOS;;16;;1;52
ASTERAS TRIPOLIS;VOLOS NFC;1;1;24;ASTERAS TRIPOLIS;;24;;1;52
AE LARISA;OFI CRETE;0;1;58;OFI CRETE;0;58;;1;52
PANATHINAIKOS;PAS GIANNINA;2;0;33;PANATHINAIKOS;;33;;1;52
PAS LAMIA 1964;OLYMPIACOS;0;6;13;OLYMPIACOS;;13;;1;52
VOLOS NFC;PANETOLIKOS;0;0;-1;NG;;-1;97;1;53
APOLLON SMYRNIS;AEK ATHENS;3;4;6;AEK ATHENS;;6;;1;53
